Cluster.number	genenames
Cluster 11	Nphp1
Cluster 11	Nudcd1
Cluster 11	Nup107
Cluster 11	Nup37
Cluster 11	Nup93
Cluster 11	Nxpe3
Cluster 11	Opalin
Cluster 11	Orc4
Cluster 11	Ost4
Cluster 11	P2rx4
Cluster 11	P2rx7
Cluster 11	Parp3
Cluster 11	Pcdhac1
Cluster 11	Pcp4
Cluster 11	Pdcl
Cluster 11	Pde8b
Cluster 11	Pdgfc
Cluster 11	Pdia3
Cluster 11	Pdxdc1
Cluster 11	Pecam1
Cluster 11	Pemt
Cluster 11	Pggt1b
Cluster 11	Phb2
Cluster 11	Picalm
Cluster 11	Pigk
Cluster 11	Pigu
Cluster 11	Pigw
Cluster 11	Pik3cd
Cluster 11	Pja1
Cluster 11	Pln
Cluster 11	Plscr4
Cluster 11	Pms2
Cluster 11	Pnisr
Cluster 11	Poglut1
Cluster 11	Pola2
Cluster 11	Polq
Cluster 11	Polr2d
Cluster 11	Polr2g
Cluster 11	Pop5
Cluster 11	Ppa2
Cluster 11	Ppia
Cluster 11	Ppib
Cluster 11	Ppic
Cluster 11	Ppip5k2
Cluster 11	Ppp1r2
Cluster 11	Ppp6c
Cluster 11	Prcp
Cluster 11	Prdm4
Cluster 11	Prdx3
Cluster 11	Prkg1
Cluster 11	Prosc
Cluster 11	Prpf3
Cluster 11	Psma3l
Cluster 11	Psma5
Cluster 11	Psmb7
Cluster 11	Psmc3ip
Cluster 11	Psmg2
Cluster 11	Ptar1
Cluster 11	Ptbp2
Cluster 11	Ptpn2
Cluster 11	Pus10
Cluster 11	Pwp2
Cluster 11	Qrsl1
Cluster 11	Rab28
Cluster 11	Rab33a
Cluster 11	Rabl3
Cluster 11	Rad52
Cluster 11	Ranbp17
Cluster 11	Rarres2
Cluster 11	Rasl12
Cluster 11	Rbak
Cluster 11	Rbbp9
Cluster 11	Rbm5
Cluster 11	Rbx1
Cluster 11	Reep1
Cluster 11	Rer1
Cluster 11	Rfc4
Cluster 11	Rffl
Cluster 11	Rft1
Cluster 11	RGD1304567
Cluster 11	RGD1306941
Cluster 11	RGD1307752
Cluster 11	RGD1308430
Cluster 11	RGD1308601
Cluster 11	RGD1310352
Cluster 11	RGD1311517
Cluster 11	RGD1359108
Cluster 11	RGD1562284
Cluster 11	RGD1565498
Cluster 11	RGD1565641
Cluster 11	Rgs20
Cluster 11	Rhoa
Cluster 11	Rnaseh1
Cluster 11	Rnf121
Cluster 11	Rnf13
Cluster 11	Rnf14
Cluster 11	Rnf146
Cluster 11	Rnf181
Cluster 11	Rpf1
Cluster 11	Rpl3
Cluster 11	Rpo1-3
Cluster 11	Rps16
Cluster 11	Rps26
Cluster 11	Rps6
Cluster 11	Rraga
Cluster 11	Rsu1
Cluster 11	RT1-O1
Cluster 11	RT1-S3
Cluster 11	RT1-T24-3
Cluster 11	Rtn4ip1
Cluster 11	Rxfp1
Cluster 11	S100a10
Cluster 11	Sbds
Cluster 11	Schip1
Cluster 11	Scn4b
Cluster 11	Scrn3
Cluster 11	Sdcbp
Cluster 11	Sdccag3
Cluster 11	Sdf2
Cluster 11	Sdhd
Cluster 11	Sec22a
Cluster 11	Sec23a
Cluster 11	Sec23b
Cluster 11	Seli
Cluster 11	Sepp1
Cluster 11	Sept2
Cluster 11	Serinc1
Cluster 11	Serinc4
Cluster 11	Serpinb9
Cluster 11	Sfrp2
Cluster 11	Sfxn2
Cluster 11	Sgcz
Cluster 11	Sgpl1
Cluster 11	Sgtb
Cluster 11	Shfm1
Cluster 11	Slbp
Cluster 11	Slc16a1
Cluster 11	Slc17a9
Cluster 11	Slc25a26
Cluster 11	Slc25a40
Cluster 11	Slc25a5
Cluster 11	Slc30a6
Cluster 11	Slc30a9
Cluster 11	Slc35a1
Cluster 11	Slc35a5
Cluster 11	Slc37a4
Cluster 11	Slc38a9
Cluster 11	Slc6a13
Cluster 11	Slc6a20
Cluster 11	Slfn2
Cluster 11	Smim14
Cluster 11	Smim7
Cluster 11	Sncg
